emg1,emg2,emg3,label
1.241447,2.468231,0.733138,open
1.231672,2.565982,0.615836,open
1.173021,1.769306,0.694037,open
1.251222,2.932551,0.620723,open
1.29521,3.176931,0.879765,open
1.392962,4.115347,1.001955,open
1.334311,3.274682,0.904203,open
1.339198,3.230694,1.192571,open
1.388074,3.856305,0.889541,open
1.309873,2.981427,0.953079,open
1.314761,3.059629,0.962854,open
1.27566,2.952102,0.684262,open
1.412512,4.393939,0.987292,open
1.314761,3.308895,0.928641,open
1.207234,2.086999,0.630499,open
1.290323,2.864125,0.899316,open
1.407625,4.232649,0.987292,open
1.383187,3.685239,0.85044,open
1.280547,2.580645,0.752688,open
1.217009,2.204301,0.654936,open
1.173021,1.896383,0.620723,open
1.265885,3.044966,0.620723,open
1.319648,3.607038,0.718475,open
1.319648,3.26002,1.031281,open
1.363636,3.670577,0.987292,close
1.412512,4.090909,0.86999,close
1.43695,3.98827,0.894428,close
1.378299,3.489736,0.943304,close
1.353861,3.304008,0.967742,close
1.344086,3.255132,1.177908,close
1.4565,4.496579,1.11437,close
1.476051,4.496579,1.036168,close
1.495601,4.491691,1.241447,close
1.471163,4.281525,1.094819,close
1.368524,3.220919,1.041056,close
1.324536,2.839687,0.874878,close
1.304985,3.123167,0.909091,close
1.427175,4.472141,1.104594,open
1.329423,3.167155,0.913978,open
1.373412,3.782991,0.923754,close
1.334311,3.367546,1.026393,close
1.4174,4.491691,1.129032,close
1.451613,4.486804,1.045943,close
1.4565,4.496579,1.065494,close
1.466276,4.496579,1.094819,close
1.446725,4.301075,0.97263,close
1.388074,3.587488,0.889541,close
1.422287,4.281525,1.256109,close
1.446725,4.301075,1.173021,close
1.373412,3.602151,0.738025,close
1.402737,4.046921,1.026393,close
1.363636,3.802542,0.801564,close
1.309873,3.000978,0.83089,close
1.304985,2.97654,0.855327,close
1.422287,4.086022,1.451613,close
1.471163,4.496579,1.334311,close
1.427175,3.929619,0.977517,close
1.368524,3.406647,1.026393,close
1.427175,4.227761,1.270772,open
1.212121,1.84262,0.630499,open
1.246334,2.697947,0.630499,open
1.182796,2.018573,0.733138,open
1.43695,4.491691,1.192571,open
1.485826,4.496579,1.29521,close
1.505376,4.496579,1.583578,close
1.500489,4.491691,1.11437,close
1.446725,3.851417,0.938416,close
1.490714,4.501466,0.948192,close
1.490714,4.491691,1.045943,close
1.407625,3.509286,0.85044,close
1.480938,4.496579,1.085044,close
1.490714,4.496579,1.207234,close
1.500489,4.496579,1.461388,close
1.505376,4.496579,1.466276,close
1.407625,3.44086,1.041056,open
1.221896,2.013685,0.669599,open
1.070381,0.835777,0.351906,open
1.026393,0.571848,0.268817,open
1.016618,0.645161,0.273705,open
1.001955,0.464321,0.26393,open
1.026393,0.742913,0.234604,open
1.075269,1.187683,0.478983,open
1.148583,1.612903,0.488759,open
1.085044,0.913978,0.273705,open
1.006843,0.420332,0.195503,open
0.982405,0.278592,0.166178,open
0.962854,0.185728,0.156403,open
0.967742,0.180841,0.156403,open
0.967742,0.171065,0.156403,open
0.967742,0.190616,0.175953,open
0.97263,0.175953,0.16129,open
0.99218,0.16129,0.16129,open
0.997067,0.151515,0.156403,open
0.987292,0.14174,0.156403,open
0.99218,0.136852,0.151515,open
0.99218,0.136852,0.151515,open
0.997067,0.136852,0.151515,open
0.997067,0.14174,0.151515,open
0.99218,0.136852,0.151515,open
0.987292,0.131965,0.151515,open
0.987292,0.131965,0.151515,open
0.977517,0.136852,0.151515,open
0.987292,0.136852,0.146628,open
0.977517,0.131965,0.151515,open
0.982405,0.131965,0.151515,open
0.987292,0.131965,0.14174,open
0.977517,0.131965,0.151515,open
0.977517,0.131965,0.151515,open
0.977517,0.136852,0.151515,open
0.977517,0.131965,0.151515,open
0.982405,0.131965,0.156403,open
0.987292,0.131965,0.146628,open
0.987292,0.131965,0.151515,open
0.997067,0.136852,0.151515,open
0.997067,0.14174,0.146628,open
0.987292,0.131965,0.146628,open
0.982405,0.136852,0.151515,open
0.987292,0.136852,0.151515,open
0.99218,0.131965,0.151515,open
1.001955,0.131965,0.151515,open
0.997067,0.131965,0.151515,open
0.987292,0.131965,0.146628,open
0.982405,0.136852,0.151515,open
0.97263,0.131965,0.151515,open
0.948192,0.136852,0.151515,open
0.943304,0.136852,0.151515,open
0.962854,0.131965,0.151515,open
0.97263,0.131965,0.151515,open
0.982405,0.131965,0.146628,open
0.987292,0.131965,0.151515,open
0.977517,0.14174,0.151515,open
0.987292,0.146628,0.151515,open
0.987292,0.14174,0.151515,open
0.987292,0.136852,0.146628,open
0.997067,0.136852,0.146628,open
0.987292,0.131965,0.146628,open
0.97263,0.131965,0.151515,open
0.977517,0.131965,0.151515,open
0.982405,0.131965,0.151515,open
0.987292,0.131965,0.151515,open
